Sequential,Inplace,Parallel_2,Parallel_4,Parallel_8,Parallel_12,Parallel_16,Parallel_32,
0.000000,0.000000,0.000000,0.001600,0.004300,0.005500,0.005700,0.011600,
0.000000,0.000000,0.000600,0.002100,0.005000,0.004100,0.005100,0.011600,
0.000200,0.000000,0.000300,0.001100,0.003300,0.004100,0.005500,0.011200,
0.000300,0.000000,0.001300,0.001600,0.003200,0.003900,0.006500,0.011700,
0.000400,0.000000,0.001000,0.001700,0.003000,0.003900,0.005100,0.011700,
0.000400,0.000000,0.000900,0.002500,0.002900,0.004400,0.005800,0.013600,
0.000100,0.000000,0.001600,0.002500,0.003500,0.005700,0.006400,0.013400,
0.000800,0.000900,0.001400,0.002800,0.003500,0.005800,0.007900,0.015400,
0.000200,0.000900,0.001900,0.002800,0.004600,0.007000,0.008100,0.016000,
0.001000,0.000300,0.002600,0.001400,0.003300,0.005900,0.006700,0.011500,
0.001600,0.000900,0.001400,0.002000,0.002800,0.004600,0.005700,0.011300,
0.002400,0.001400,0.001700,0.002100,0.002400,0.004100,0.005100,0.010800,
0.004500,0.001800,0.002500,0.002800,0.003800,0.003700,0.005500,0.010400,
0.003900,0.002600,0.002300,0.001900,0.002800,0.004100,0.005400,0.009000,
0.006200,0.003000,0.003800,0.002900,0.003900,0.004600,0.005600,0.009900,
0.004900,0.003100,0.003400,0.002400,0.003000,0.004100,0.004800,0.011100,
0.007700,0.006800,0.005000,0.004000,0.004300,0.004600,0.005700,0.011400,
0.008400,0.005000,0.003900,0.003400,0.003900,0.004800,0.006300,0.011200,
0.008300,0.005400,0.004700,0.003000,0.004600,0.005400,0.006200,0.011800,
0.024500,0.014900,0.009600,0.007100,0.005800,0.006000,0.007000,0.011200,
0.028700,0.017600,0.013100,0.008000,0.006100,0.006500,0.007300,0.012800,
0.056600,0.032700,0.022400,0.013400,0.011400,0.012500,0.011500,0.015300,
0.051400,0.034700,0.021900,0.013400,0.010800,0.011900,0.010000,0.014300,
0.073400,0.047000,0.031100,0.019800,0.013400,0.017600,0.013900,0.015700,
0.060400,0.041600,0.030500,0.016700,0.011200,0.012000,0.011900,0.018800,
0.126400,0.074500,0.052200,0.027100,0.019800,0.015000,0.016500,0.017500,
0.103100,0.063800,0.040800,0.026100,0.014200,0.014400,0.015300,0.017200,
0.098200,0.066900,0.049700,0.028300,0.018800,0.014900,0.017800,0.017800,
0.093800,0.063200,0.042500,0.025600,0.017000,0.014300,0.016400,0.017000,
0.160800,0.096800,0.064000,0.039300,0.026100,0.019300,0.022100,0.022800,
0.109800,0.074800,0.047100,0.025200,0.020000,0.015000,0.019100,0.019400,
0.136400,0.088800,0.068000,0.041400,0.025200,0.020000,0.022500,0.022700,
0.148800,0.096800,0.069700,0.041700,0.025200,0.019400,0.023600,0.023000,
0.232300,0.146800,0.107000,0.063100,0.036000,0.026600,0.033200,0.030300,
0.143000,0.098900,0.066000,0.043000,0.026800,0.017800,0.025100,0.023000,
0.236100,0.142600,0.099700,0.057100,0.033400,0.025100,0.031700,0.029700,
0.160700,0.113800,0.071800,0.045400,0.026600,0.022900,0.026400,0.026000,
0.224100,0.159100,0.105700,0.060300,0.036300,0.031000,0.035000,0.032000,
0.202100,0.136800,0.096000,0.056600,0.032300,0.024400,0.031900,0.029000,
0.215300,0.148000,0.107100,0.057000,0.035500,0.028000,0.032400,0.031800,
0.191100,0.138500,0.093700,0.055800,0.032300,0.024700,0.030000,0.028400,
0.353500,0.214400,0.154300,0.089400,0.050000,0.036400,0.046600,0.041600,
0.251900,0.165400,0.111400,0.065700,0.036300,0.028300,0.033900,0.031300,
0.253600,0.174600,0.121800,0.065100,0.041500,0.033600,0.035000,0.034800,
0.340300,0.205500,0.138200,0.078600,0.045300,0.035000,0.043000,0.039700,
0.311200,0.207800,0.157500,0.090500,0.050200,0.037800,0.050400,0.042800,
0.245600,0.173200,0.120100,0.070400,0.040700,0.032300,0.039900,0.036600,
0.339500,0.225300,0.152400,0.087300,0.051000,0.036900,0.047500,0.043400,
0.265900,0.189000,0.126500,0.078300,0.044400,0.032300,0.042200,0.038200,
0.515000,0.320700,0.230900,0.129700,0.071800,0.053100,0.064400,0.061600,
0.312200,0.225100,0.145200,0.086300,0.049600,0.036200,0.047000,0.041700,
0.339700,0.232600,0.156900,0.084700,0.052200,0.036100,0.048800,0.042900,
0.321900,0.215300,0.157400,0.086500,0.050400,0.038600,0.047400,0.043500,
0.519300,0.317600,0.209900,0.118700,0.069800,0.049000,0.061000,0.055200,
0.324900,0.233100,0.162900,0.096300,0.051800,0.045800,0.051200,0.043800,
0.371400,0.259000,0.185000,0.098300,0.057500,0.042800,0.054300,0.049000,
0.368300,0.264400,0.175800,0.102200,0.055900,0.042700,0.052700,0.048300,
0.506100,0.343500,0.235300,0.129800,0.074800,0.053600,0.071800,0.057600,
