Radix2,Radix2_Parallel_2,Radix2_Parallel_4,Radix2_Parallel_8,Radix2_Parallel_12,Radix2_Parallel_16,Radix2_Parallel_32,
0.000000,0.000700,0.000500,0.000500,0.001900,0.001300,0.001600,
0.000000,0.000000,0.000900,0.000600,0.001500,0.001600,0.002800,
0.000000,0.000500,0.000300,0.000800,0.001300,0.001600,0.002800,
0.000000,0.000000,0.000700,0.000800,0.001400,0.001000,0.003400,
0.000000,0.000900,0.000300,0.000500,0.001600,0.001600,0.002900,
0.000000,0.000500,0.000200,0.001600,0.001800,0.001700,0.003600,
0.000100,0.000500,0.000900,0.001300,0.002000,0.001600,0.004100,
0.000000,0.000700,0.000600,0.001500,0.001100,0.002300,0.003900,
0.000500,0.000400,0.000800,0.001900,0.001800,0.002100,0.004500,
0.000500,0.000400,0.000500,0.000900,0.001200,0.001600,0.003000,
0.000300,0.000700,0.000800,0.001000,0.002300,0.001700,0.003200,
0.000200,0.001300,0.001300,0.000300,0.001800,0.001600,0.003000,
0.000400,0.001800,0.001100,0.000000,0.001100,0.001600,0.003300,
0.001800,0.001200,0.000600,0.001200,0.001100,0.001600,0.002900,
0.001500,0.002200,0.001400,0.001100,0.001500,0.001800,0.003000,
0.002000,0.001700,0.001300,0.001300,0.001100,0.001700,0.003000,
0.001800,0.001400,0.000600,0.001600,0.001200,0.002000,0.002600,
0.001300,0.002200,0.001000,0.001200,0.001500,0.001600,0.002700,
0.002400,0.001600,0.001000,0.001300,0.001800,0.001800,0.002900,
0.003800,0.002700,0.002400,0.002200,0.001900,0.002200,0.003100,
0.008000,0.005300,0.004400,0.003200,0.004800,0.003400,0.003700,
0.009700,0.005700,0.006100,0.004700,0.004500,0.006000,0.005900,
0.017100,0.011100,0.008400,0.005600,0.006100,0.005100,0.005700,
0.016800,0.011900,0.008500,0.008900,0.006000,0.005600,0.005700,
0.018100,0.012000,0.007300,0.004900,0.006500,0.004800,0.005400,
0.016300,0.012600,0.007800,0.006300,0.006300,0.006200,0.005600,
0.033200,0.020500,0.015800,0.011000,0.011000,0.009500,0.009500,
0.035400,0.024500,0.015100,0.010000,0.010300,0.009300,0.008900,
0.035600,0.022600,0.015600,0.012900,0.010700,0.009500,0.009300,
0.036400,0.023600,0.015700,0.012500,0.011500,0.009900,0.009000,
0.037700,0.023500,0.016000,0.011600,0.011100,0.009500,0.008700,
0.036500,0.023800,0.014900,0.011900,0.009100,0.010400,0.008900,
0.036200,0.025100,0.017300,0.011700,0.009800,0.010300,0.009500,
0.036000,0.021000,0.016600,0.010600,0.010800,0.009900,0.009000,
0.076100,0.045300,0.030900,0.020600,0.020500,0.018700,0.016900,
0.074600,0.047600,0.029900,0.022400,0.020200,0.018900,0.015000,
0.102900,0.069000,0.039900,0.026900,0.019500,0.020900,0.018700,
0.079400,0.047400,0.032100,0.022800,0.021500,0.019200,0.017100,
0.077700,0.046600,0.040800,0.024500,0.020400,0.022500,0.017200,
0.099100,0.059200,0.030200,0.022300,0.020300,0.017600,0.017300,
0.109800,0.066900,0.034600,0.026300,0.022100,0.020000,0.018100,
0.078600,0.050900,0.036500,0.027300,0.021100,0.019200,0.018400,
0.109600,0.054600,0.033500,0.022000,0.022900,0.019100,0.017500,
0.077100,0.053000,0.033000,0.024500,0.021300,0.019100,0.018100,
0.109600,0.059800,0.036100,0.022400,0.021400,0.020500,0.017600,
0.076300,0.049700,0.034500,0.022400,0.021900,0.019600,0.017400,
0.076800,0.057700,0.033000,0.023700,0.021600,0.018700,0.017700,
0.075800,0.057600,0.032900,0.023300,0.021200,0.019200,0.017600,
0.077400,0.056100,0.033000,0.022400,0.020800,0.019600,0.017100,
0.077600,0.052000,0.034700,0.024100,0.020000,0.020700,0.017400,
0.157900,0.089000,0.069100,0.044800,0.042500,0.039600,0.034900,
0.162600,0.103600,0.067100,0.043100,0.042700,0.038800,0.034600,
0.158600,0.092500,0.070000,0.043100,0.041700,0.042400,0.040900,
0.160400,0.095200,0.069500,0.045000,0.040600,0.038300,0.034600,
0.154300,0.106000,0.065500,0.044000,0.040000,0.036800,0.033300,
0.218800,0.114900,0.069200,0.046400,0.041000,0.041700,0.034900,
0.159300,0.106800,0.067300,0.044600,0.040300,0.042800,0.034100,
0.212400,0.119000,0.068500,0.042300,0.040900,0.039100,0.033900,
